block,feature,feature_class,candidate_level,R1_habitat_present_cases,R2_habitat_present_cases,R1_finite_count,R2_finite_count,R1_finite_rate,R2_finite_rate,finite_rate_min,pooled_finite_count,pooled_finite_rate,n_valid_pairs,icc_2_1,reproducibility_status,finite_rate_gate_pass,prediction_candidate,exclusion_reason
R_low,original_firstorder_10Percentile,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.7885719381201277,pass,1,1,
R_low,original_firstorder_90Percentile,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.9132211493909979,pass,1,1,
R_low,original_firstorder_Energy,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.8802076332611173,pass,1,1,
R_low,original_firstorder_Entropy,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.8547718743977644,pass,1,1,
R_low,original_firstorder_InterquartileRange,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.7262765977711494,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_firstorder_Kurtosis,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.43413311239389013,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_firstorder_Maximum,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.6878810907631611,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_firstorder_Mean,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.8840474030698418,pass,1,1,
R_low,original_firstorder_MeanAbsoluteDeviation,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.7656392941526375,pass,1,1,
R_low,original_firstorder_Median,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.8662857513236054,pass,1,1,
R_low,original_firstorder_Minimum,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.33095250223381684,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_firstorder_Range,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.6177605636934121,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_firstorder_RobustMeanAbsoluteDeviation,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.7410305047935315,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_firstorder_RootMeanSquared,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.8925147022238619,pass,1,1,
R_low,original_firstorder_Skewness,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.5562469566535934,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_firstorder_TotalEnergy,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.8802076332611173,pass,1,1,
R_low,original_firstorder_Uniformity,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.8978515290944319,pass,1,1,
R_low,original_firstorder_Variance,firstorder,secondary,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.6788020689318822,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_glcm_Autocorrelation,glcm,main,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.4790905449705605,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_glcm_ClusterProminence,glcm,main,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.560314685895633,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_glcm_ClusterShade,glcm,main,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.7058823408065187,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_glcm_ClusterTendency,glcm,main,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.6265131246526106,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_glcm_Contrast,glcm,main,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.7833450040110006,pass,1,1,
R_low,original_glcm_Correlation,glcm,main,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.7355139792498908,icc_threshold_not_met,1,0,ICC_not_above_0.75
R_low,original_glcm_DifferenceAverage,glcm,main,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.8467774421053071,pass,1,1,
R_low,original_glcm_DifferenceEntropy,glcm,main,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.852377442535566,pass,1,1,
R_low,original_glcm_DifferenceVariance,glcm,main,392,17,391,17,0.9974489795918368,1.0,0.9974489795918368,408,0.9975550122249389,17,0.7499938865521532,icc_threshold_not_met,1,0,ICC_not_above_0.75
